iter	RMSE
0	0.2658738827
1	0.2616170303
2	0.2577660992
3	0.2536859253
4	0.2498595982
5	0.2467561657
6	0.2434497009
7	0.2400358749
8	0.2373880063
9	0.2348871924
10	0.2318192613
11	0.2289457423
12	0.2263691056
13	0.2240429289
14	0.2218588692
15	0.2195515783
16	0.2175109205
17	0.2154146613
18	0.2130449712
19	0.2114239956
20	0.2098010778
21	0.2080738135
22	0.2063285329
23	0.2053436975
24	0.2037677384
25	0.2021676094
26	0.2007376308
27	0.1993424423
28	0.1979278213
29	0.1967567859
30	0.1953972524
31	0.194096327
32	0.1930267055
33	0.1920717237
34	0.1910690059
35	0.1898579483
36	0.1889077264
37	0.1880043427
38	0.1870842666
39	0.1862817155
40	0.1858393328
41	0.1848205834
42	0.1839535481
43	0.1831750593
44	0.1823624495
45	0.1815609345
46	0.1807198423
47	0.1798820143
48	0.1790565333
49	0.1785271134
50	0.1778342669
51	0.1771114327
52	0.1764030724
53	0.1757812896
54	0.1753037164
55	0.1749089462
56	0.1743504089
57	0.1737467534
58	0.1731580484
59	0.1728582319
60	0.1724349102
61	0.1719584836
62	0.1713588019
63	0.1707560082
64	0.1700008767
65	0.1695845752
66	0.1689309128
67	0.1683744417
68	0.1680720159
69	0.1676665093
70	0.1669649541
71	0.166348479
72	0.1659103988
73	0.1655842238
74	0.1651304043
75	0.1646068262
76	0.1640900025
77	0.1636500129
78	0.1632913242
79	0.1628517104
80	0.162592511
81	0.1622080127
82	0.1617076677
83	0.1614117223
84	0.1609152211
85	0.1606005713
86	0.1602459781
87	0.1597478806
88	0.1591574083
89	0.1588014338
90	0.1584303026
91	0.1582005137
92	0.1578506312
93	0.1573290529
94	0.15681852
95	0.1564373769
96	0.1562251994
97	0.1560594122
98	0.1558321626
99	0.1554268623
100	0.1551197569
101	0.1548731617
102	0.1546554772
103	0.1541348411
104	0.1537248918
105	0.1533986223
106	0.1530269014
107	0.1528155961
108	0.1524518412
109	0.1521801135
110	0.1518543705
111	0.1517692334
112	0.1514544132
113	0.1512607112
114	0.1510552174
115	0.1507121287
116	0.1505201058
117	0.1503739546
118	0.1501402871
119	0.149932842
120	0.1496309158
121	0.1494480149
122	0.1491365449
123	0.1487723326
124	0.1485067435
125	0.1482648995
126	0.1479858454
127	0.1475480408
128	0.1473131572
129	0.1469767029
130	0.1467613376
131	0.146585008
132	0.1463588946
133	0.1460791619
134	0.1458514949
135	0.1455970043
136	0.1454594925
137	0.1452479997
138	0.1449521561
139	0.1448710363
140	0.1447245824
141	0.1444757307
142	0.14424939
143	0.144052643
144	0.1438627568
145	0.1436522035
146	0.1434045378
147	0.1432347416
148	0.1430181222
149	0.1428990401
150	0.1427467168
151	0.1425496871
152	0.1424308294
153	0.1422672273
154	0.1421140405
155	0.1418672221
156	0.1416149537
157	0.1411406575
158	0.1408871057
159	0.1406901459
160	0.1405003881
161	0.1401937521
162	0.139859564
163	0.1396365043
164	0.1394954091
165	0.139246555
166	0.1390084795
167	0.1387931715
168	0.138491305
169	0.1383111216
170	0.1379786366
171	0.1378338944
172	0.1375813303
173	0.1374322978
174	0.1371631553
175	0.1369623357
176	0.1367549402
177	0.1364612478
178	0.1363243088
179	0.1360469019
180	0.135908375
181	0.1356628212
182	0.1353878958
183	0.1352605445
184	0.1350625173
185	0.1349518726
186	0.1348107867
187	0.1345968575
188	0.1344076897
189	0.1342065599
190	0.133977623
191	0.1338081535
192	0.1336216752
193	0.1334436776
194	0.1333002338
195	0.1330828599
196	0.1328387406
197	0.1325992902
198	0.1323224478
199	0.1320242265
200	0.131812676
201	0.1317019908
202	0.1314249732
203	0.1312811689
204	0.1311315222
205	0.1309840081
206	0.1307780558
207	0.1305758908
208	0.130451583
209	0.1302662674
210	0.13010061
211	0.1299726136
212	0.1298454313
213	0.1296561713
214	0.1294788926
215	0.1293294514
216	0.1292022608
217	0.1290054876
218	0.1288546225
219	0.1286634879
220	0.1284634823
221	0.1282161062
222	0.1280566451
223	0.1279664032
224	0.1277634173
225	0.1276371361
226	0.127411275
227	0.1273315364
228	0.1271428049
229	0.1270355763
230	0.1268918137
231	0.1267256716
232	0.1265905199
233	0.1263572679
234	0.12622834
235	0.1259027263
236	0.1257277857
237	0.1255996053
238	0.1255067585
239	0.1252630708
240	0.1251255112
241	0.1248770638
242	0.1247877535
243	0.1245077146
244	0.1242146662
245	0.1240741435
246	0.1239627066
247	0.1238186691
248	0.1236310981
249	0.1236032502
250	0.1233688723
251	0.1231657921
252	0.1229387796
253	0.122783314
254	0.122605096
255	0.1223852577
256	0.1223591623
257	0.1220217508
258	0.1218779875
259	0.1218327581
260	0.121641504
261	0.1214122115
262	0.1212737908
263	0.1211375146
264	0.1210538165
265	0.1209227259
266	0.1206613201
267	0.1204887088
268	0.1203467964
269	0.1203017313
270	0.1200735586
271	0.1199725267
272	0.1198133241
273	0.1197114927
274	0.1195959001
