iter	Passed	Remaining
0	4	4755
1	11	5899
2	15	5202
3	21	5270
4	28	5627
5	33	5484
6	37	5282
7	43	5440
8	47	5269
9	51	5084
10	60	5396
11	65	5402
12	70	5352
13	79	5603
14	85	5603
15	95	5894
16	101	5876
17	109	5969
18	115	5981
19	125	6165
20	132	6196
21	144	6414
22	151	6441
23	167	6795
24	177	6919
25	182	6854
26	190	6862
27	197	6859
28	208	6967
29	213	6888
30	221	6918
31	227	6879
32	232	6826
33	241	6868
34	246	6788
35	254	6813
36	259	6760
37	264	6702
38	272	6712
39	277	6656
40	282	6616
41	290	6616
42	294	6553
43	302	6567
44	306	6506
45	310	6443
46	317	6428
47	321	6384
48	326	6338
49	333	6328
50	337	6283
51	341	6231
52	349	6248
53	353	6193
54	360	6187
55	372	6275
56	375	6220
57	385	6268
58	390	6227
59	397	6222
60	402	6194
61	406	6150
62	413	6153
63	422	6172
64	428	6164
65	432	6115
66	435	6070
67	439	6027
68	445	6007
69	448	5964
70	453	5934
71	458	5907
72	465	5915
73	470	5886
74	477	5894
75	481	5857
76	486	5829
77	491	5814
78	496	5793
79	500	5758
80	507	5754
81	511	5729
82	515	5697
83	519	5663
84	524	5651
85	529	5623
86	533	5597
87	540	5606
88	545	5579
89	549	5551
90	556	5556
91	572	5650
92	581	5673
93	587	5660
94	591	5633
95	596	5620
96	600	5591
97	604	5559
98	607	5527
99	612	5511
100	615	5482
101	618	5449
102	622	5419
103	626	5396
104	629	5369
105	633	5340
106	636	5312
107	639	5285
108	643	5262
109	646	5234
110	650	5206
111	653	5183
112	657	5162
113	661	5137
114	664	5112
115	667	5089
116	671	5064
117	675	5047
118	679	5027
119	682	5003
120	685	4981
121	690	4965
122	693	4947
123	697	4930
124	701	4910
125	705	4896
126	709	4879
127	713	4860
128	717	4845
129	721	4831
130	725	4811
131	728	4790
132	732	4771
133	735	4754
134	739	4740
135	743	4722
136	746	4703
137	749	4684
138	754	4673
139	757	4655
140	760	4635
141	764	4618
142	768	4603
143	771	4587
144	775	4570
145	778	4552
146	781	4534
147	785	4523
148	788	4505
149	792	4488
150	795	4470
151	798	4454
152	803	4449
153	807	4434
154	810	4419
155	813	4403
156	818	4394
157	821	4378
158	824	4363
159	828	4347
160	832	4336
161	835	4322
162	839	4308
163	842	4295
164	845	4280
165	850	4272
166	853	4257
167	857	4244
168	860	4231
169	865	4226
170	870	4217
171	873	4206
172	877	4193
173	882	4187
174	888	4187
175	896	4195
176	900	4185
177	905	4182
178	909	4171
179	914	4165
180	918	4154
181	924	4155
182	969	4329
183	1020	4524
184	1029	4533
185	1037	4540
186	1048	4560
187	1062	4587
188	1082	4646
189	1090	4647
190	1098	4651
191	1112	4680
192	1120	4687
193	1166	4844
194	1175	4851
195	1183	4854
196	1192	4858
197	1198	4853
198	1204	4849
199	1224	4896
200	1230	4889
201	1237	4888
202	1242	4878
203	1246	4863
204	1252	4857
205	1256	4842
206	1259	4824
207	1262	4808
208	1267	4796
209	1270	4780
210	1273	4763
211	1277	4746
212	1280	4732
213	1284	4719
214	1288	4704
215	1293	4696
216	1298	4685
217	1301	4670
218	1305	4654
219	1308	4639
220	1311	4623
221	1315	4611
222	1319	4596
223	1322	4581
224	1325	4566
225	1329	4553
226	1333	4539
227	1336	4525
228	1339	4511
229	1343	4496
230	1347	4485
231	1350	4470
232	1353	4455
233	1356	4441
234	1360	4428
235	1364	4416
236	1367	4402
237	1371	4390
238	1374	4377
239	1378	4366
240	1382	4353
241	1385	4340
242	1388	4326
243	1392	4314
244	1396	4302
245	1399	4288
246	1402	4275
247	1405	4262
248	1409	4250
249	1412	4236
250	1415	4223
251	1418	4211
252	1422	4199
253	1426	4189
254	1430	4179
255	1433	4167
256	1436	4152
257	1441	4144
258	1444	4132
259	1447	4120
260	1451	4109
261	1455	4099
262	1460	4091
263	1463	4080
264	1469	4075
265	1473	4066
266	1477	4056
267	1480	4044
268	1484	4033
269	1486	4020
270	1490	4010
271	1494	3999
272	1498	3989
273	1501	3978
274	1505	3968
275	1508	3957
276	1512	3946
277	1515	3935
278	1519	3926
279	1522	3915
280	1526	3905
281	1529	3894
282	1532	3882
283	1536	3874
284	1539	3863
285	1543	3852
286	1546	3841
287	1550	3832
288	1553	3822
289	1556	3811
290	1559	3800
291	1562	3789
292	1566	3780
293	1570	3771
294	1573	3761
295	1577	3750
296	1580	3740
297	1584	3732
298	1587	3721
299	1590	3710
300	1593	3700
301	1597	3691
302	1600	3682
303	1604	3672
304	1606	3661
305	1610	3651
306	1616	3649
307	1622	3645
308	1625	3636
309	1630	3629
310	1634	3620
311	1637	3611
312	1641	3603
313	1645	3595
314	1650	3589
315	1654	3580
316	1657	3571
317	1662	3565
318	1666	3557
319	1691	3594
320	1705	3608
321	1712	3605
322	1719	3604
323	1728	3605
324	1757	3651
325	1764	3647
326	1768	3638
327	1777	3640
328	1782	3635
329	1788	3630
330	1794	3626
331	1797	3616
332	1800	3606
333	1804	3597
334	1808	3589
335	1811	3580
336	1814	3570
337	1818	3560
338	1822	3553
339	1825	3543
340	1828	3534
341	1831	3524
342	1835	3515
343	1840	3509
344	1843	3500
345	1847	3491
346	1850	3481
347	1855	3475
348	1858	3467
349	1861	3457
350	1865	3448
351	1868	3439
